Start Time,Sensor,Fault Type,Trial #,Attack Time,Avg Deviation (m),Max Deviation (m),Attack Result,Impact,Failsafe triggered?,Failsafe Type
,Mag,gradual_drift,1,2,0,0,Fail,0,No,
,Mag,gradual_drift,2,2,0,0,Fail,0,No,
,Mag,gradual_drift,3,2,0,0.02,Fail,0,No,
,Mag,gradual_drift,1,5,0.15,1.64,Fail,0,No,
,Mag,gradual_drift,2,5,0,0,Fail,0,No,
,Mag,gradual_drift,3,5,0.15,1.02,Fail,0,No,
,Mag,gradual_drift,1,10,0.21,1.62,Fail,0,No,
,Mag,gradual_drift,2,10,0.12,1.05,Fail,0,No,
,Mag,gradual_drift,3,10,0.18,1.54,Fail,0,No,
20251203_223924,Optical Flow,precision_damage,1,2,0.12,0.12,Fail,0,No,None
20251203_224121,Optical Flow,precision_damage,1,5,0.12,0.12,Fail,0,No,None
20251203_224501,Optical Flow,precision_damage,1,10,0.12,0.12,Fail,0,No,None
20251203_224618,Optical Flow,stuck,1,2,0.12,0.12,Fail,0,No,None
20251203_224659,Optical Flow,stuck,1,5,0.12,0.12,Fail,0,No,None
20251203_224732,Optical Flow,stuck,1,10,0.12,0.12,Fail,0,No,None
20251203_224818,Optical Flow,short_circuit,1,2,0.44,1.95,Fail,0,No,None
20251203_225051,Optical Flow,short_circuit,1,5,0,0,Success,0,No,None
20251203_225141,Optical Flow,short_circuit,1,10,0.09,0.12,Fail,0,No,None
,Optical Flow,constant_deviation,1,2,0.12,0.12,Fail,0,No,None
,Optical Flow,constant_deviation,1,5,0.12,0.12,Fail,0,No,None
,Optical Flow,constant_deviation,1,10,0.12,0.11,Fail,0,No,None
,Optical Flow,gradual_drift,1,2,0,0,Fail,0,No,None
,Optical Flow,gradual_drift,1,5,0,0,Fail,0,No,None
,Optical Flow,gradual_drift,1,10,0.02,0.05,Fail,0,No,None
20251203_225702,ACCELEROMETER,precision_damage,1,2,0.1,1.96,Fail,0,No,None
,,precision_damage,2,2,0.12,0.4,Fail,0,Yes,EKF Primary Changed
,,precision_damage,3,2,0.08,0.94,Fail,0,No,
20251203_230253,ACCELEROMETER,precision_damage,1,5,0,0,Fail,0,No,
,,precision_damage,2,5,0,0,Success,0,Yes,EKF Change to LAND Mode
,,precision_damage,3,5,0,0.02,Fail,0,Yes,EKF Primary Changed
20251203_230329,ACCELEROMETER,precision_damage,1,10,0,0,Fail,0,Yes,Vibration Compensation Enabled
,,precision_damage,2,10,0.01,0.05,Fail,0,Yes,EKF Primary Changed
,,precision_damage,3,10,,,,,,
,ACCELEROMETER,stuck,1,2,207.67,579.79,Success,1,Yes,EKF Primary Changed
,,stuck,2,2,,,,,,
,,stuck,3,2,,,,,,
,ACCELEROMETER,stuck,1,5,,,,,,
,,stuck,2,5,,,,,,
,,stuck,3,5,,,,,,
,ACCELEROMETER,stuck,1,10,,,,,,
,,stuck,2,10,,,,,,
,,stuck,3,10,,,,,,
,ACCELEROMETER,short_circuit,1,2,,,,,,
,,short_circuit,2,2,,,,,,
,,short_circuit,3,2,,,,,,
,ACCELEROMETER,short_circuit,1,5,,,,,,
,,short_circuit,2,5,,,,,,
,,short_circuit,3,5,,,,,,
,ACCELEROMETER,short_circuit,1,10,0.32,6.53,Success,1,No,
,,short_circuit,2,10,,,,,,
,,short_circuit,3,10,,,,,,
,ACCELEROMETER,constant_deviation,1,2,,,,,,
,,constant_deviation,2,2,,,,,,
,,constant_deviation,3,2,,,,,,
,ACCELEROMETER,constant_deviation,1,5,,,,,,
,,constant_deviation,2,5,,,,,,
,,constant_deviation,3,5,,,,,,
,ACCELEROMETER,constant_deviation,1,10,0.85,11.72,Success,1,Yes,EKF Primary Changed
,,constant_deviation,2,10,0.92,11.59,Success,1,Yes,EKF Primary Changed
,,constant_deviation,3,10,0.68,11.77,Success,1,Yes,EKF Primary Changed
,ACCELEROMETER,gradual_drift,1,2,,,,,,
,,gradual_drift,2,2,,,,,,
,,gradual_drift,3,2,,,,,,
,ACCELEROMETER,gradual_drift,1,5,,,,,,
,,gradual_drift,2,5,,,,,,
,,gradual_drift,3,5,,,,,,
,ACCELEROMETER,gradual_drift,1,10,23.24,255.65,Success,0,yes,EKF Primary Changed
,,gradual_drift,2,10,,,,,,
,,gradual_drift,3,10,,,,,,
,Optical Flow,precision_damage,2,2,0,0,Fail,0,No,None
,Optical Flow,precision_damage,2,5,0.12,0.12,Fail,0,No,None
,Optical Flow,precision_damage,2,10,0.01,0.12,Fail,0,No,None
,Optical Flow,stuck,2,2,0,0,Fail,0,No,None
,Optical Flow,stuck,2,5,0,0,Fail,0,No,None
,Optical Flow,stuck,2,10,0.12,0.12,Fail,0,No,None
,Optical Flow,short_circuit,2,2,0,0,Fail,0,No,None
,Optical Flow,short_circuit,2,5,0,0,Fail,0,No,None
,Optical Flow,short_circuit,2,10,0.02,0.12,Fail,0,No,None
,Optical Flow,constant_deviation,2,2,0,0,Fail,0,No,None
,Optical Flow,constant_deviation,2,5,0,0,Fail,0,No,None
,Optical Flow,constant_deviation,2,10,0,0,Fail,0,No,None
,Optical Flow,gradual_drift,2,2,0,0,Fail,0,No,None
,Optical Flow,gradual_drift,2,5,0,0,Fail,0,No,None
,Optical Flow,gradual_drift,2,10,0.12,0.12,Fail,0,No,None
,Optical Flow,precision_damage,3,2,0,0,Fail,0,No,None
,Optical Flow,precision_damage,3,5,0.12,0.12,Fail,0,No,None
,Optical Flow,precision_damage,3,10,0.02,0.12,Fail,0,No,None
,Optical Flow,stuck,3,2,0.08,0.12,Fail,0,No,None
,Optical Flow,stuck,3,5,0.12,0.12,Fail,0,No,None
,Optical Flow,stuck,3,10,0.12,0.12,Fail,0,No,None
,Optical Flow,short_circuit,3,2,0,0,Fail,0,No,None
,Optical Flow,short_circuit,3,5,0.12,0.12,Fail,0,No,None
,Optical Flow,short_circuit,3,10,0.12,0.12,Fail,0,No,None
,Optical Flow,constant_deviation,3,2,0.17,1.56,Fail,0,No,None
,Optical Flow,constant_deviation,3,5,0.15,1.55,Fail,0,No,None
,Optical Flow,constant_deviation,3,10,0.23,1.43,Fail,0,No,None
,Optical Flow,gradual_drift,3,2,0.12,0.12,Fail,0,No,None
,Optical Flow,gradual_drift,3,5,0.12,0.12,Fail,0,No,None
,Optical Flow,gradual_drift,3,10,0.12,0.12,Fail,0,No,None
